Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1180,Dinaciclib,"SCH727965, SCH 727965, SCH-727-965, MK-7965",46926350,"CDK1, CDK2, CDK5, CDK9",Cell cycle,GDSC2,SANGER,GDSC
1007,Docetaxel,"RP-56976, Taxotere",148124,Microtubule stabiliser,Mitosis,GDSC1,SANGER,GDSC
1007,Docetaxel,"RP-56976, Taxotere",148124,Microtubule stabiliser,Mitosis,GDSC2,SANGER,GDSC
1819,Docetaxel,"RP-56976, Taxotere",148124,Microtubule stabiliser,Mitosis,GDSC2,SANGER,PubChem [ID Exchange]
1042,Doramapimod,"BIRB-796, BIRB 796",156422,"p38, JNK2",JNK and p38 signaling,GDSC1,SANGER,GDSC
1042,Doramapimod,"BIRB-796, BIRB 796",156422,"p38, JNK2",JNK and p38 signaling,GDSC2,SANGER,GDSC
133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",31703,Anthracycline,DNA replication,GDSC1,MGH,GDSC
1386,Doxorubicin,NA,31703,Anthracycline,DNA replication,GDSC1,SANGER,PubChem [ID Exchange]
1407,Dyrk1b_0191,SN1008982787,NA,DYRK1B,"Other, kinases",GDSC1,SANGER,NA
1069,EHT-1864,EHT 1864,9938202,"RAC1, RAC2, RAC3",Cytoskeleton,GDSC1,SANGER,GDSC
1069,EHT-1864,EHT 1864,9938202,"RAC1, RAC2, RAC3",Cytoskeleton,GDSC2,SANGER,GDSC
